"cd_uf","regioes_term","cd_mun","cd_micro","ctamprop","valortotal","vmedio","max_vmedio","indicador"
14,"AMACRR",1400175,14002,"GRANDE","6714692","7871834.5","33440820","0.2353959771321397"
12,"AMACRR",1200401,12004,"GRANDE","37445288","33440820","33440820","1"
12,"AMACRR",1200427,12001,"GRANDE","12240","1873102.25","33440820","0.05601244975452157"
13,"AMACRR",1301159,13007,"GRANDE","268770","9947994.57142857","33440820","0.29748058126052446"
12,"AMACRR",1200336,12001,"GRANDE","2097148","1873102.25","33440820","0.05601244975452157"
13,"AMACRR",1300904,13012,"GRANDE","3415752","13507298.5","33440820","0.40391648589956824"
13,"AMACRR",1303304,13013,"GRANDE","805600","2016035.6","33440820","0.06028666761161958"
13,"AMACRR",1302504,13007,"GRANDE","0","9947994.57142857","33440820","0.29748058126052446"
13,"AMACRR",1300300,13007,"GRANDE","0","9947994.57142857","33440820","0.29748058126052446"
13,"AMACRR",1301407,13004,"GRANDE","0","1436905","33440820","0.042968593473485396"
13,"AMACRR",1301100,13007,"GRANDE","1022128","9947994.57142857","33440820","0.29748058126052446"
14,"AMACRR",1400506,14004,"GRANDE","2241350","2491730.75","33440820","0.0745116522262313"
13,"AMACRR",1304005,13009,"GRANDE","437522","3895337","33440820","0.11648449410032409"
13,"AMACRR",1303403,13010,"GRANDE","3661494","1128833","33440820","0.03375613995111364"
12,"AMACRR",1200609,12002,"GRANDE","2865317","4260183.5","33440820","0.12739470802450417"
12,"AMACRR",1200138,12004,"GRANDE","82640028","33440820","33440820","1"
14,"AMACRR",1400027,14001,"GRANDE","34820129","18227980","33440820","0.5450817294551987"
14,"AMACRR",1400605,14004,"GRANDE","1782200","2491730.75","33440820","0.0745116522262313"
14,"AMACRR",1400209,14003,"GRANDE","12031266","11595723.333333334","33440820","0.34675355847534045"
13,"AMACRR",1303536,13008,"GRANDE","589200","1292805","33440820","0.03865948861301846"
13,"AMACRR",1302553,13007,"GRANDE","0","9947994.57142857","33440820","0.29748058126052446"
14,"AMACRR",1400472,14004,"GRANDE","2461712","2491730.75","33440820","0.0745116522262313"
14,"AMACRR",1400100,14001,"GRANDE","12350411","18227980","33440820","0.5450817294551987"
14,"AMACRR",1400282,14003,"GRANDE","8734095","11595723.333333334","33440820","0.34675355847534045"
13,"AMACRR",1301654,13004,"GRANDE","5037620","1436905","33440820","0.042968593473485396"
13,"AMACRR",1301209,13006,"GRANDE","673930","673930","33440820","0.020152914910579346"
12,"AMACRR",1200500,12003,"GRANDE","27386731","14988640.5","33440820","0.44821390444373077"
13,"AMACRR",1301852,13007,"GRANDE","5235860","9947994.57142857","33440820","0.29748058126052446"
13,"AMACRR",1302603,13007,"GRANDE","63109204","9947994.57142857","33440820","0.29748058126052446"
12,"AMACRR",1200393,12001,"GRANDE","280335","1873102.25","33440820","0.05601244975452157"
